0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1.1586083,0.24883421,0.6595772,0.5679875,2.0375583,0.0,1.4450992,1.3574212,3.7666707,3.3377697,1.9684975,1.6181617,3.7368085,2.432636,0.0,2.9431756,0.9823118,0.0,0.0,0.0,0.8227174,0.8856573,1.7252195,1.9895924,1.0423399,1.95812,0.0,1.6256723,1.6178694,0.0,2.3700113,2.6039007
2.0638034,1.0825819,2.3222365,1.2044816,2.0607514,0.0,2.9963477,3.333879,4.5821404,3.9427354,1.8856047,1.9568907,3.0111594,2.831475,0.0,1.8862575,1.0754999,0.0,0.0,0.0,3.0371702,0.26125658,2.542083,2.5783389,1.9485505,2.5130365,0.0,1.6220368,0.4898948,0.0,2.169139,3.9981961
2.396632,1.1921631,2.130423,2.0238001,3.2087588,0.0,2.9701817,2.5416188,4.690615,2.945547,2.7991114,1.2344837,1.9573299,1.7549427,0.0,2.6989093,2.9145339,0.0,0.0,0.0,3.6375158,1.7059844,3.8052423,1.3320442,1.8739415,1.3324919,0.0,1.3389356,1.8513813,0.0,1.0361823,3.1198478
2.2619498,0.9109715,1.7248197,2.1347075,3.3159392,0.0,2.6367276,1.4730747,4.150111,3.8648288,2.4145567,2.0984294,2.4030495,2.299672,0.0,3.6085413,2.349553,0.0,0.0,0.0,3.3612812,1.7443951,2.5036812,0.8349874,2.478383,0.7478238,0.0,1.6431669,1.4581763,0.0,0.8614245,1.8433981
1.9282597,1.9653034,0.18101251,1.5251564,2.0126143,0.0,1.7014967,2.4453058,3.8438098,0.109520264,1.6825353,1.8095183,1.4751315,0.7532486,0.0,2.2665288,1.0920697,0.0,0.0,0.0,1.0648581,1.5384282,2.3296976,1.8483008,2.6813183,0.5407941,0.0,0.96881485,1.1775699,0.0,2.4877546,1.4792401
1.4809055,0.958343,1.3232508,1.4107678,2.7204654,0.0,1.2411761,0.430735,1.5651864,3.0974495,1.8880532,1.608611,1.2219639,1.4431227,0.0,2.5607216,1.6357064,0.0,0.0,0.0,2.0840433,1.685089,1.7186819,0.43409887,2.472395,0.51701534,0.0,1.7430876,1.2276037,0.0,0.74366575,0.6780591
3.5032508,1.6440694,2.588192,1.635574,3.4206135,0.0,3.3374739,3.3199236,4.467372,4.5083747,3.3914442,1.4215062,1.8887672,2.6779697,0.0,4.2428994,2.52216,0.0,0.0,0.0,2.2327814,1.7972134,4.8130355,2.9431944,3.6022317,1.4000893,0.0,0.97121847,1.7087538,0.0,2.350508,3.357807
2.0099082,1.0224954,1.743371,1.4674762,2.885669,0.0,2.5811002,1.0151466,3.7604024,2.9822638,2.0855064,1.9352183,1.9813681,2.348445,0.0,2.18046,2.1858668,0.0,0.0,0.0,2.5277193,2.0844696,2.0157375,0.6248539,2.3509567,0.6694507,0.0,1.7835263,1.4187152,0.0,1.0790752,1.6193861
1.7004124,0.4331119,1.799864,1.0980288,2.6322386,0.0,2.5503922,0.94843227,2.6429675,3.3356676,2.1005547,1.0126231,3.002986,2.1180446,0.0,1.7370515,2.2720199,0.0,0.0,0.0,2.9157026,1.5447996,2.6712205,1.5298029,1.3519987,2.1563015,0.0,2.246205,1.2272362,0.0,1.7032752,2.3166103
1.4534935,1.328954,0.97176474,2.1701665,1.1690305,0.0,1.9032327,2.9538715,4.512819,3.4455419,1.2104409,2.3712068,1.9429511,1.872912,0.0,4.0544314,1.372705,0.0,0.0,0.0,2.1729796,1.09545,3.4313643,1.9291761,2.4792275,1.498463,0.0,0.8378246,2.3790767,0.0,1.6479608,2.6622956
